author_id,channel_id,video_id,activity,topic
YlhNFE5MCIU-yPuuYUVCTw,jMOuz8G5xhoNiC_mTT3QxQ,kk7dVQ8yaSE,liked,United States Coast Guard
cYV0GCP3LJmVvHily6K8cQ,v6J1XT-BsmAAw8QWjOpyOA,_AujZgwHON4,playlisted,Physician
sTtvLW1LQ2jAp5O22rb4yQ,lTrZkl8ux1fGE6E9mfZs2g,mKfk5KrVnjE,posted,United States of America
WuIFMaHWd14B0SXFePiuag,P-h3mztYKUfLWynkG4wgww,7o0Db1td0hw,playlisted,United States Air Force Thunderbirds
WuIFMaHWd14B0SXFePiuag,P-h3mztYKUfLWynkG4wgww,7o0Db1td0hw,playlisted,RAF Waddington
8Dmmt6fkFaNyyEOPtKMCkw,UxuYuqe-XBFonUGFLETfnA,JjWH1v0PvKo,liked,United States Navy SEAL selection and training
8Dmmt6fkFaNyyEOPtKMCkw,UxuYuqe-XBFonUGFLETfnA,JjWH1v0PvKo,liked,United States Navy SEALs
8Dmmt6fkFaNyyEOPtKMCkw,UxuYuqe-XBFonUGFLETfnA,JjWH1v0PvKo,liked,Don Shipley
hEXebFeIpA9UUo6pIOQi2A,9kQCpYPjTFFcbSFaLTFy6w,qAJVma63Tv0,playlisted,US Marines
5j5LI4MNTdvOr0yTTpdu6w,goAp7lCarVuSwMGNzpUTgw,AmJW6N4Lirs,playlisted,Military cadence
5j5LI4MNTdvOr0yTTpdu6w,goAp7lCarVuSwMGNzpUTgw,AmJW6N4Lirs,playlisted,United States Army Rangers
5j5LI4MNTdvOr0yTTpdu6w,goAp7lCarVuSwMGNzpUTgw,AmJW6N4Lirs,playlisted,Military cadence
5j5LI4MNTdvOr0yTTpdu6w,goAp7lCarVuSwMGNzpUTgw,AmJW6N4Lirs,playlisted,United States Army Rangers
mjrrvs7IYU1rU2UAnTZNZQ,cYpbM3VVlYFcP8_GsgjhFA,hbIjcSg2qbA,posted,Defense Language Institute
NLBQsjPGVRyoz6jvuRDWWw,4SjKqVud15tPuLMXLitixg,6tMm1ReZjpM,liked,United States Navy SEAL selection and training
NLBQsjPGVRyoz6jvuRDWWw,4SjKqVud15tPuLMXLitixg,6tMm1ReZjpM,liked,United States Navy
