Index,Topic1,Topic2,Count
6861,Islamic State of Iraq and the Levant,Space,283
7430,Military,War,504
10004,Donald Trump,Millennials,425
33000,Fallout: 4,Unmanned aerial vehicle,333
65793,Gun,The Walt Disney Company,251
70086,Pistol,Weapon,660
97013,New World Order,Terrorism,470
141836,Call of Duty,Drake,349
144489,Cenk Uygur,Fox News Channel,256
162926,Illuminati,New World Order,929
172043,Bernie Sanders,Train,348
172808,Car,Rape,407
182109,Tom Clancy's Rainbow Six: Siege,Xbox One,301
185768,Federal Emergency Management Agency,Sun,282
199126,Robot,Video game,431
203004,Feminism,Vladimir Putin,381
226693,2012 Benghazi attack,September 11 attacks,496
227929,News,North Korea,461
320719,Film,Jeb Bush,285
336688,New World Order,Police officer,562
340525,.45 ACP,Assault rifle,382
369874,Pistol,Shooting,899
383162,Muhammad Ali,Refugee,261
388783,"Donald Trump presidential campaign, 2016",National Rifle Association,285
407149,Aircraft,Video game,423
409118,Bernie Sanders,World War II,333
444677,Dance,Film,264
456442,Call of Duty,Minecraft,780
545059,Robot,Tank,284
545222,Dog,Rifle,521
583028,Bernie Sanders,Jimmy Kimmel,300
597459,Star Wars,Toy,284
628515,Alex Jones,Brussels,395
650080,Grand Theft Auto V,Resident Evil,351
656291,False flag,Number of the beast,289
672306,Fighter aircraft,Orlando,310
681231,Bernie Sanders,Second Amendment,600
709554,PewDiePie,Rhett and Link,273
726601,North Atlantic Treaty Organization (NATO),Russian Armed Forces,304
772860,Call of Duty: Black Ops III,Mario,364
805625,Pet,Shooting,306
808605,Cenk Uygur,North Korea,338
818174,Video game,Warcraft,338
846131,Police officer,Prophecy,319
854125,North Korea,Trailer,434
863075,Planets beyond Neptune,Shooting,282
876541,Economic collapse,North Atlantic Treaty Organization (NATO),496
887151,Atheism,Orlando,328
890791,ARMA,PewDiePie,266
901766,Helicopter,Rifle,400
910053,Nibiru cataclysm,Volcano,425
914449,Batman v Superman: Dawn of Justice,Cat,252
915538,Earthquake,Rothschild family,306
944571,Nibiru cataclysm,Walmart,398
981367,Proposed referendum on United Kingdom membership of the European Union,Russian Armed Forces,282
990577,Brussels,Islam,371
996405,Donald Trump,Five Nights at Freddy's,299
1080745,False flag,Russia,440
1135249,Animal,Zika virus,281
1138729,AK-47,Aircraft,278
1142715,Illuminati,Volcano,438
1164966,Firearm,Savage Arms,297
1174325,Film,Food,649
1190026,New World Order,Sun,375
1199216,Firearm,Walther arms,418
1202326,Feminism,Political correctness,291
1228624,Military,Taliban,307
1249480,Barack Obama,Drake,262
1249832,9-1-1,Orlando,263
1270233,Gun,Recipe,336
1284019,Conan O'Brien,Overwatch,275
1285704,Donald Trump,Ted Cruz,1799
1296852,Proposed referendum on United Kingdom membership of the European Union,Sinkhole,283
1335840,Donald Trump,Guantanamo Bay detention camp,253
1346209,Hillary Rodham Clinton,Pornography,334
1362685,Airsoft,Trailer,376
1383231,Film,Vladimir Putin,559
1394023,Soldier,Unmanned aerial vehicle,320
1413970,Firearm,Joaquín Guzmán Loera,377
1448822,Islam,Walmart,357
1454740,Firearm,Weapon,1145
1455990,Fallout: 4,Veteran,270
1463547,Battlefield 4,Tom Clancy's Rainbow Six: Siege,558
1464877,Iran,Martial law,321
1471360,Feminism,Shotgun,319
1489190,Star Wars,Teenage Mutant Ninja Turtles,334
1492398,Tom Clancy's Rainbow Six,Virtual reality,409
