topic,author_id
US Marines,719
United States Navy,523
United States Navy SEALs,484
Military,470
Recruit training,376
United States Air Force,374
Soldier,352
United States Army,334
United States Marine Corps Recruit Training,325
Drill instructor,288
Army,284
United States Marine Corps Force Reconnaissance,273
United States Navy SEAL selection and training,256
Special Forces,253
Don Shipley,252
Physical exercise,243
Practical joke,227
Stolen Valor Act of 2013,224
Military cadence,213
Special forces,211
Marine Corps Recruit Depot Parris Island,190
United States Marine Corps Forces Special Operations Command,190
Firearm,186
Donald Trump,182
Sniper,177
United States Army Rangers,174
War,172
United States Armed Forces,168
United States Army Basic Training,167
Video blog,166
United States Air Force Basic Military Training,161
Trailer,157
Veteran,148
Helicopter,146
Call of Duty,143
Motivation,141
Bodybuilding,141
Shooting,141
Film,140
Battlefield,136
Grand Theft Auto V,136
Grand Theft Auto,130
United States Military Entrance Processing Command,130
Police,127
Marcus Luttrell,126
United States Coast Guard,124
Medal of Honor,123
Infantry,121
Dog,121
United States Marine Corps School of Infantry,121
Police officer,115
Barack Obama,115
Lyrics,114
Lone Survivor,110
Car,109
Airsoft,107
Afghanistan,106
Gun,106
Documentary,105
Tank,105
Aircraft carrier,105
"Recruit Training Command, Great Lakes, Illinois",104
World War II,103
Armed Services Vocational Aptitude Battery,103
Aircraft,102
Marines,102
Marine Corps Recruit Depot San Diego,102
Rifle,101
Airborne forces,100
Islamic State of Iraq and the Levant,99
Chris Kyle,99
Video game,99
Star Wars,98
Combat,98
Motorcycle,95
Music,94
American football,94
United States Air Force Pararescue,94
Taliban,93
War in Afghanistan (2001–present),92
Lockheed Martin F-35 Lightning II,92
National Guard of the United States,91
ARMA,91
1st Special Forces Operational Detachment-Delta,89
Eminem,89
Vine,88
Fighter aircraft,86
United States military occupation code,86
United States Marine Corps Scout Sniper,85
United States Marine Corps Physical Fitness Test,84
Marine Raiders,84
Unmanned aerial vehicle,84
Navy,84
Semper fidelis,83
Battlefield 4,83
Bell Boeing V-22 Osprey,83
Airman,82
United States Marine Air-Ground Task Force Reconnaissance,82
Halo,82
Drake,82
ARMA 3,82
Air force,82
The Young Turks,82
Vietnam War,81
United States Marine Corps birthday ball,80
SEAL Team Six,80
United States Air Force Tactical Air Control Party,79
Star Wars Episode VII,79
Minecraft,76
Gameplay,76
Ranger School,76
Hillary Rodham Clinton,76
Weapon,74
Physical fitness,74
Gym,74
Military Officer,72
75th Ranger Regiment,72
Push-up,72
Reconnaissance,72
Marine expeditionary unit,71
Pull-up,70
Special warfare combatant-craft crewmen,70
"Meal, Ready-to-Eat",69
Live fire exercise,69
Officer Candidates School,68
Paratrooper,68
Christmas,68
Lockheed C-130 Hercules,68
General Dynamics F-16 Fighting Falcon,67
President of the United States,67
Cosmetics,67
Fairchild Republic A-10 Thunderbolt II,67
Sergeant,66
Navy Midshipmen football,66
Iraq War,66
Guitar,66
Jimmy Fallon,66
Marine Corps Martial Arts Program,65
2nd Reconnaissance Battalion,65
Machine gun,65
M1 Abrams,65
Call of Duty: Black Ops III,64
Marines' Hymn,64
Cat,63
Saturday Night Live,63
Aerial refueling,63
United States Marine Corps Silent Drill Platoon,63
Mixed martial arts,62
Parachuting,62
American Sniper,61
AK-47,61
Marine Corps Base Camp Pendleton,61
Ronald Reagan,61
United States Air Force Security Forces,61
Army Black Knights football,60
Amphibious warfare,60
Call of Duty: Black Ops II,60
Air show,60
CrossFit,60
Boeing C-17 Globemaster III,60
United States Air Force Combat Control Team,60
The Weeknd,59
Black Lives Matter,59
Military police,59
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,59
82nd Airborne Division,59
Shotgun,59
Wiz Khalifa,59
Staff sergeant,58
.50 BMG,58
Fallout: 4,58
Hair,58
Mortar,58
McDonnell Douglas F/A-18 Hornet,58
Pokémon,58
Submarine,57
Fallout,57
United States Air Force Academy,57
Chevrolet,57
Fort Benning,57
Dance,56
M4 carbine,56
Tattoo,56
Stock footage,56
Footage,55
Assault rifle,55
Boeing AH-64 Apache,55
Adele,55
'Till I Collapse,55
Documentary film,54
Air Force Special Operations Command,54
Delayed Entry Program,54
United States of America,53
Hospital corpsman,53
BuzzFeed,53
iPhone,53
Batman,53
Pilot,53
Linkin Park,53
Cooking,53
Glock,53
PlayStation 4,52
Ranger Up,52
The Tonight Show Starring Jimmy Fallon,52
Knife,52
Junior Reserve Officers' Training Corps,52
United States Marine Corps Reconnaissance Training Company,52
Drill team,52
Weight loss,52
Hunting,52
Food,51
GoPro,51
Basketball,51
Full Metal Jacket,51
Air National Guard,50
5th Marine Regiment,50
High-altitude military parachuting,50
Battle of Iwo Jima,50
Weight training,50
McDonnell Douglas F-15 Eagle,50
"""The President's Own"" United States Marine Band",49
Father,49
Prank call,49
Officer Candidate School,49
Ammunition,49
Humour,49
Combat search and rescue,48
Marine,48
Jesse Ventura,48
Muscle,48
Royal Marines,48
Yousef Erakat,48
United States Special Operations Command,48
Homelessness,48
Vice,47
Lockheed Martin F-22 Raptor,47
Military deployment,47
Taylor Swift,47
Battle,47
Conan O'Brien,47
Battlefield 3,47
Abdominal exercise,47
Artillery,47
Coast guard,47
Mod,46
Destiny,46
Fishing,46
Five Finger Death Punch,46
FPSRussia,46
Exercise RIMPAC,46
Girlfriend,46
WatchMojo.com,46
The Star-Spangled Banner,46
Boeing CH-47 Chinook,45
Call of Duty: Advanced Warfare,45
Sikorsky CH-53E Super Stallion,45
Toby Keith,45
United States special operations forces,45
Boxing,45
Platoon,45
Islamic State of Iraq and Syria,45
Star Wars: Battlefront,45
September 11 attacks,45
Rihanna,45
Ford,44
Operation Red Wings,44
Shooting sport,44
Justin Bieber,44
United States Military Academy,44
Fire,44
Marching,44
Nickelback,44
CollegeHumor,44
Running,44
Black Hawk Down,44
Future,44
Eating,43
Charlie Puth,43
United States Army Reserve,43
Concealed carry,43
Urban warfare,43
Martial arts,43
TED,43
Gun control,43
Sikorsky UH-60 Black Hawk,43
Terminal Lance,43
Freestyle rap,42
Bernie Sanders,42
Boeing F/A-18E/F Super Hornet,42
Key & Peele,42
Assault Amphibious Vehicle,42
Piano,42
Death of Osama bin Laden,42
Ultimate Fighting Championship,42
Hand grenade,42
1st Reconnaissance Battalion,42
Making Marines,42
Blue Angels,42
United States Naval Academy,42
James Mattis,42
Combat engineer,42
Keegan-Michael Key,41
Song,41
Remix,41
Band of Brothers,41
Marching band,41
Racism,41
Dogs in warfare,41
Special operations,41
United States Air Force Thunderbirds,41
Marine Corps Recruiting Command,41
Kanye West,41
Puppy,41
Sniper rifle,40
The Warrior,40
United States Army Airborne School,40
Late-night talk show,40
Xbox One,40
Jordan Peele,40
Marriage proposal,40
Johnny Cash,40
Missile,40
Hairstyle,40
Girl,40
Metallica,40
Marine Security Guard,40
Second Battle of Fallujah,40
ARMA 2,40
Stolen Valor Act,40
X Ambassadors,39
United States Navy EOD,39
Truck,39
Epic Rap Battles of History,39
Feminism,39
Spetsnaz,39
Graduation,39
J. Cole,39
Close quarters combat,39
Self-defense,39
PrankvsPrank,39
Assassin's Creed,39
Combat medic,39
Darth Vader,39
Alex Jones,39
26th Marine Expeditionary Unit,39
Imagine Dragons,38
Lil Wayne,38
Combat Fitness Test,38
Devil Dog,38
Joint terminal attack controller,38
Firefighter,38
Helmet camera,38
United States Air Force Band,38
Skateboarding,38
Air Force Officer Training School,38
United States Naval Special Warfare Command,37
Fallujah,37
Military branch,37
See You Again,37
Company (military unit),37
United States Army Special Forces selection and training,37
LEGO,37
Surviving the Cut,37
North Atlantic Treaty Organization (NATO),37
Drums,37
Swimming,37
Richard Machowicz,37
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,36
Family Guy,36
Inside Combat Rescue,36
Musical ensemble,36
Ship,36
Black,36
U.S. 101st Airborne Division,36
Rapping,36
Squat,36
Close air support,36
British Army,36
Wedding,36
Fetty Wap,36
Michael P. Murphy,35
"Visit, board, search, and seizure",35
M777 howitzer,35
Road rage,35
Tomb of the Unknowns,35
Call of Duty: Modern Warfare 2,35
Magic,35
Landing,35
3rd Battalion 5th Marines,35
Fast-roping,35
Air assault,35
Technical school,35
North Korea,35
Battlefield Hardline,35
Turner Broadcasting System,35
Iraq,35
Act of Valor,35
Howitzer,35
G-Eazy,35
United States military pay,34
The Ellen DeGeneres Show,34
War Thunder,34
Enlisted rank,34
Improvised bombing,34
United States Army Physical Fitness Test,34
Attack on Pearl Harbor,34
Dude Perfect,34
Open carry in the United States,34
Military parade,34
United States Air Force Special Operations Weather Technician,34
America's Got Talent,34
3 Doors Down,34
Bomber,34
M240 machine gun,34
Master chief petty officer,34
Chris Brown,34
Arnold Schwarzenegger,34
U.S. uniformed services pay grades,34
Marine Air-Ground Task Force,34
Recipe,34
Harrier Jump Jet,33
United States Army Infantry School,33
Corps,33
"Marine Barracks, Washington, D.C.",33
Ford Mustang,33
Call of Duty: Black Ops,33
M16 rifle,33
Bullying,33
Parade,33
Halo 5: Guardians,33
Normandy landings,33
Boeing KC-135 Stratotanker,33
Veterans Day,33
Islam,33
Armed forces,33
PewDiePie,33
Battalion,33
Paintball,33
World War I,33
Furious 7,32
Baseball,32
Reserve Officers' Training Corps,32
Ambush,32
Warship,32
United States Air Force Combat Rescue Officer,32
United States Armed Forces oath of enlistment,32
Army–Navy Game,32
Infant,32
Unidentified flying object,32
Survival skills,32
Second lieutenant,32
Episode,32
Guns N' Roses,32
United States Navy Amphibious Reconnaissance Corpsman,32
SWAT,32
Calisthenics,32
Boeing B-52 Stratofortress,32
Fort Jackson,31
Non-commissioned officer,31
Battle rap,31
Call of Duty 4: Modern Warfare,31
Driving,31
World War III,31
Vsauce,31
Obstacle course,31
Military recruitment,31
Sexual intercourse,31
AC/DC,31
Hand-to-hand combat,31
Motovlog,31
Okinawa Prefecture,31
Posttraumatic stress disorder,31
The Division,30
Tom Clancy's Rainbow Six: Siege,30
Comedian,30
Explosive Ordnance Disposal Badge,30
Breaking Benjamin,30
Flag of the United States,30
United States Department of Defense,30
Kyle Carpenter,30
Kadena Air Base,30
Fox News Channel,30
Trace Adkins,30
Marja,30
Suicide Squad,30
Disturbed,30
Division,30
United States Marine Corps Aviation,30
Helmet,30
Cannabis,30
Lockheed AC-130,30
Battleship,30
National anthem,29
Medal of Honor: Warfighter,29
WWE,29
Frogman,29
III Marine Expeditionary Force,29
Deadlift,29
Tim McGraw,29
Call of Duty: Modern Warfare 3,29
25th Infantry Division,29
LAV-25,29
Australian Army,29
Brantley Gilbert,29
Lamborghini,29
Batman v Superman: Dawn of Justice,29
Red Flag exercise,29
Mother,29
Suppressor,29
2012 Benghazi attack,29
Ranger Assessment and Selection Program,29
Fine Brothers,29
Sergeant major,29
Jimmy Kimmel,29
Beyoncé Knowles,29
Syrian civil war,29
Flight deck,29
Twenty One Pilots,29
Russia,29
Hero,29
Tupac Shakur,28
National Rifle Association,28
Destroyer,28
Memorial Day,28
United States Marine Corps Reconnaissance Battalions,28
Dierks Bentley,28
Mortal Kombat,28
CNN,28
Brazilian jiu-jitsu,28
Deadpool,28
Singing,28
Bicycle,28
Maroon 5,28
David Goggins,28
Operation Moshtarak,28
DayZ,28
Generation Kill,28
Dave Chappelle,28
Television advertisement,28
Football,28
Bodybuilding supplement,28
Luke Bryan,28
Rhett and Link,28
Marksman,28
Pistol,28
Danny Dietz,28
The Walking Dead,28
Wrong Side of Heaven,27
Child,27
Indian Air Force,27
Roman Atwood,27
Meek Mill,27
Ronda Rousey,27
MilSim,27
Jungle warfare,27
G.I. Bill,27
Special Air Service,27
Mk 19 grenade launcher,27
Confidence artist,27
House,27
Barracks,27
Steven Crowder,27
General,27
Counter-Strike: Global Offensive,27
Polish Special Forces,27
The Elder Scrolls V: Skyrim,27
Rae Sremmurd,27
Canadian Armed Forces,27
Grumman F-14 Tomcat,27
Avicii,27
News,27
Stolen Valor: How the Vietnam Generation Was Robbed of its Heroes and its History,27
Extraterrestrial life,27
Army National Guard,27
Train,27
Military exercise,27
Drumline,26
War film,26
Katy Perry,26
Backpack,26
Wrestling,26
Cadet,26
Stand-up comedy,26
Training,26
First to Fight,26
Magpul Industries,26
SHOT Show,26
Scuba diving,26
Dubstep,26
Lockheed C-5 Galaxy,26
Takeoff,26
Garry's Mod,26
Tactic,26
Skillet,26
Death,26
HIMARS,26
Bomb disposal,26
Trap,26
Jerry Miculek,26
Misawa Air Base,26
Muslim,26
Tim Kennedy,25
One Station Unit Training,25
Unboxing,25
Russian Armed Forces,25
Choir,25
Attack helicopter,25
Gunship,25
Kendrick Lamar,25
R. Lee Ermey,25
Jeep,25
Kevin Hart,25
Squad,25
Sikorsky HH-60 Pave Hawk,25
1st Marine Special Operations Battalion,25
Watch,25
Hovercraft,25
Ramadi,25
Blooper,25
Life hacking,25
Air Force Reserve Command,25
Tom Clancy's Rainbow Six,25
USS Ronald Reagan (CVN-76),25
The U.S. Air Force,25
Federal Bureau of Investigation,25
Force,25
Boeing,25
