topic,author_id
US Marines,77
United States Navy SEALs,45
United States Air Force,45
United States Navy,37
Recruit training,35
United States Army,35
Military,31
Don Shipley,26
United States Marine Corps Recruit Training,26
Donald Trump,26
Army,23
Drill instructor,23
Soldier,20
Marine Corps Recruit Depot Parris Island,19
Military cadence,18
United States Navy SEAL selection and training,16
United States Army Basic Training,16
United States Coast Guard,16
Stolen Valor Act of 2013,14
United States Air Force Basic Military Training,13
Bell Boeing V-22 Osprey,12
Lockheed Martin F-35 Lightning II,12
Firearm,11
United States Marine Corps Force Reconnaissance,11
National Guard of the United States,11
United States Armed Forces,10
"""The President's Own"" United States Marine Band",10
Helicopter,10
Tank,10
United States Army Rangers,10
Special Forces,10
HIMARS,9
Hillary Rodham Clinton,9
United States Marine Corps School of Infantry,9
The Young Turks,9
Howitzer,8
Air force,8
Sikorsky HH-60 Pave Hawk,8
Sniper,8
United States Marine Corps Forces Special Operations Command,8
Weapon,8
Navy,8
Boeing AH-64 Apache,8
Aerial refueling,8
Unmanned aerial vehicle,8
Parachuting,8
Video blog,8
Fort Benning,8
Infantry,7
"Recruit Training Command, Great Lakes, Illinois",7
Coast guard,7
75th Ranger Regiment,7
Airborne forces,7
Motivation,7
Special forces,7
Aircraft,7
M777 howitzer,7
Physical exercise,7
Glock,7
Marines,7
Ranger School,7
Officer Candidates School,7
United States Air Force Academy,7
Hovercraft,7
Army Black Knights football,7
Marine Corps Recruit Depot San Diego,7
Battle of Iwo Jima,7
M1 Abrams,7
PAVE,7
Practical joke,6
Cosmetics,6
Littoral combat ship,6
Black Lives Matter,6
Airman,6
USS Freedom,6
Netherlands Marine Corps,6
United States Military Academy,6
Tactic,6
American football,6
Boeing B-52 Stratofortress,6
Armed Services Vocational Aptitude Battery,6
Fighter aircraft,6
United States Air Force Combat Control Team,6
Officer Candidate School,6
Veteran,6
Marcus Luttrell,6
Special warfare combatant-craft crewmen,6
USS George H.W. Bush,6
Embraer EMB 314 Super Tucano,6
Richard Machowicz,6
James Mattis,6
Boeing F/A-18E/F Super Hornet,6
Boeing C-17 Globemaster III,6
United States Air Force Thunderbirds,5
Al-Bukamal,5
Air Naval Gunfire Liaison Company,5
War in Afghanistan (2001–present),5
Japan Coast Guard Academy,5
Marines' Hymn,5
Fort Jackson,5
United States Marine Corps Scout Sniper,5
The Star-Spangled Banner,5
General Dynamics F-16 Fighting Falcon,5
Navy Midshipmen football,5
Bell OH-58 Kiowa,5
United States Coast Guard Academy,5
Military police,5
Reconnaissance,5
United States Military Entrance Processing Command,5
Bernie Sanders,5
Surviving the Cut,5
Nevada National Guard,5
Car,5
