,group,name
0,000,Pugil stick
1993,000,Second Battle of Fallujah
1935,000,Physical exercise
1929,000,Marine
408,000,Camp Fuji
1879,000,M203 grenade launcher
1859,000,"United States Marine Corps Forces, Europe"
437,000,Marine Corps Air Station Beaufort
1831,000,Bell AH-1 Cobra
1830,000,Train
1829,000,Marine Corps Base Camp Lejeune
1815,000,HMX-1
1807,000,"Washington, D.C."
358,000,Sikorsky CH-53 Sea Stallion
456,000,Rocket
1788,000,Helicopter support team
1783,000,Dickin Medal
1777,000,Fallujah
1758,000,Royal Australian Infantry Corps
1753,000,Sikorsky SH-3 Sea King
1728,000,Israel Defense Forces
1721,000,FAMAS
1701,000,2011 Helmand Province incident
1681,000,General Orders for Sentries
1673,000,California Department of Forestry and Fire Protection
1667,000,Hingham
1662,000,Commando Training Centre Royal Marines
1801,000,Terminal Lance
2008,000,Action figure
355,000,Marine Corps Logistics Base Albany
354,000,M4 carbine
2455,000,Republic of Korea Marine Corps
2448,000,Marine Corps Recruit Depot San Diego
2433,000,Military robot
167,000,Angkatan Bersenjata Republik Korea
2422,000,M777 howitzer
2406,000,United States Marine Corps Aviation
188,000,I Marine Expeditionary Force
206,000,Marja
212,000,Telemark Battalion
2324,000,The Script
225,000,M270 Multiple Launch Rocket System
2291,000,Semper fidelis
2267,000,M27 Infantry Automatic Rifle
2238,000,M16 rifle
262,000,McDonald's
265,000,Robot combat
2200,000,Boeing CH-47 Chinook
289,000,Nerf war
291,000,Bell UH-1Y Venom
2170,000,Cobra Gold
2169,000,Commando
2142,000,With the Marines at Tarawa
2098,000,Rifle
330,000,Sikorsky CH-53E Super Stallion
334,000,Camouflage
2043,000,USS Bonhomme Richard (LHD-6)
351,000,M1 Abrams
538,000,3rd Battalion 5th Marines
2478,000,Twentynine Palms
1629,000,HMH-463
1583,000,Mountain Warfare Training Center
1267,000,Army
1255,000,M2 Browning
1250,000,Letters From Home
1242,000,Marine Raiders
780,000,Mortar
1195,000,Trump Hotel Las Vegas
1183,000,Full Metal Jacket
1180,000,Dignified Transfer
1179,000,Yellow ribbon
814,000,Battle of Tarawa
1143,000,Engadget
836,000,Hall of Fame
763,000,Flags of the Confederate States of America
848,000,Jeffrey Shih
857,000,Camp Gonsalves
1062,000,Imperial Japanese Army
1047,000,Machine gun
869,000,Operation Moshtarak
873,000,World War I
875,000,Black Sea Rotational Force
1027,000,Attack helicopter
1009,000,Delayed Entry Program
983,000,Marine Corps Base Camp Pendleton
976,000,Marine Corps Martial Arts Program
962,000,Cargo aircraft
953,000,Soltam K6
1080,000,United States Marine Corps birthday ball
1276,000,"Marine Barracks, Washington, D.C."
1287,000,Marine Combat Instructor of Water Survival
740,000,Lockheed C-5 Galaxy
1574,000,French Foreign Legion
570,000,Howitzer
1552,000,Nerf
1535,000,Dog
592,000,Tattoo
1522,000,Red Flag exercise
1521,000,Harrier Jump Jet
1509,000,Military deployment
1504,000,G.I. Joe
1484,000,Sikorsky CH-53K King Stallion
1467,000,Marine Expeditionary Force
1451,000,Sergeant Major of the Marine Corps
1447,000,Marine One
1444,000,Korea
1443,000,Schutztruppe
1434,000,Future War
1418,000,United States Marine Corps Silent Drill Platoon
665,000,World War II
672,000,Uniforms of the United States Marine Corps
679,000,Battle of Iwo Jima
1359,000,Surviving the Cut
1357,000,Gerard Butler
1347,000,VMM-263
1335,000,"Donald Trump presidential campaign, 2016"
715,000,Adam Driver
1315,000,Marine Special Operations Regiment
1297,000,First Amendment to the United States Constitution
563,000,M67 grenade
133,000,Sergeant Reckless
1793,000,Vietnam War
18,000,Roblox
2636,000,HIMARS
72,000,Marine Corps Air Ground Combat Center Twentynine Palms
2726,000,Order of battle
25,000,CNN Student News
2570,000,The Bible
2718,000,Raising the Flag on Iwo Jima
49,000,Infantry Immersion Trainer
90,000,Trump Tower Manila
2732,000,Bell AH-1 SuperCobra
2674,000,FIM-92 Stinger
2667,000,Bell AH-1Z Viper
2603,000,Weapons company
2620,000,Magpul Industries
2675,000,Robot
2653,000,President of the United States
2566,000,1st Tank Battalion
2740,000,Noncommissioned officer's creed
2702,000,Hand-to-hand combat
2519,000,Cold Response
97,000,Martial arts
78,000,Trump International Hotel and Tower
279,0010,All That Remains
1221,0010,United States Special Operations Command
1232,0010,Tim Kennedy
1209,0010,Marksman
2174,0010,Marksmanship Badge
278,0010,Officer Candidates School
1272,0010,Diplomatic Security Service
2223,0010,National Guard of the United States
754,0010,The Hornet's Nest
1489,0010,Special Purpose Marine Air-Ground Task Force for Crisis Response
745,0010,Kirkwood Mountain Resort
254,0010,Junior Reserve Officers' Training Corps
728,0010,Close quarters combat
2347,0010,SWAT
1460,0010,Reserve Officer Training Corps
2256,0010,Trigger
1438,0010,Regret Not
668,0010,Joint Special Operations Command
699,0010,Marine Security Guard
1334,0010,United States Army Reconnaissance and Surveillance Leaders Course
2207,0010,Bureau of Diplomatic Security
2164,0010,United States Army Special Forces selection and training
122,0010,Okinawa Marine
1639,0010,United States Marine Corps Physical Fitness Test
451,0010,Army Reserve Officers' Training Corps
450,0010,United States Marine Corps Light Armored Reconnaissance
476,0010,Inside Combat Rescue
1824,0010,War
1771,0010,Airborne & Special Operations Museum
2575,0010,University of Kansas
1094,0010,1st Reconnaissance Battalion
2593,0010,Fort Knox
155,0010,Marine Corps Security Force Regiment
434,0010,Kendrick Lamar
979,0010,Field training exercise
967,0010,My Strange Addiction
374,0010,26th Marine Expeditionary Unit
2438,0010,Special Mission Unit
1901,0010,'Till I Collapse
2134,0010,Act of Valor
1655,0010,United States Marine Corps School of Infantry
509,0010,3rd Light Armored Reconnaissance Battalion
898,0011,United States Marine Corps Wounded Warrior Regiment
624,0011,Navy Cross
2486,0011,Operation Enduring Freedom
386,0011,Fourragère
1920,0011,Leonard Slatkin
2669,0011,5th Marine Regiment
1342,0011,Royal Thai Marine Corps
1596,0011,Battalion
830,0011,31st Marine Expeditionary Unit
1575,0011,Lance corporal
468,0011,2nd Battalion 5th Marines
2565,0011,Infantry
2564,0011,Sergeant
1716,0011,Second lieutenant
