group,name
000,Ceremonial oath of the Bundeswehr
000,Army recruit
000,"Parow, Germany"
000,Bivouac shelter
001,Fennek
001,Fennec fox
001,Fire Support Team
0020,German commando frogmen
0020,German Navy
0021,Boarding
0021,Heckler & Koch G36
0030,Kommando Spezialkräfte
0030,Helicopter Rope Suspension Technique
0031,Kållered SK
0031,Karşıyaka S.K.
0040,Braunschweig-class corvette
0040,F125-class frigate
0040,Wiesel AWC
0040,German Air Force
0040,Marder
0040,German Armed Forces Badge for Military Proficiency
0040,Iron Cross
0040,Autobahn
0040,2013 European floods
0040,Infanterist der Zukunft
0040,German Defence Force
0040,Company sergeant major
0041,Seebataillon
0041,Karel Doorman-class support ship
01,Jack Hinks
01,The Night Pat Murphy Died
01,Metrobus
01,Follow Me Back
01,When I'm Up
01,Wave Over Wave
01,Straight to Hell
01,Recruiting sergeant
01,Yankee Sailor
01,Donkey Riding
01,Walk on the Moon
01,The Chemical Worker's Song (Process Man)
01,Fast as I Can
01,Road to Ruin
01,Great Big Sea
01,England
01,Long Life (Where Did You Go)
01,Company of Fools
01,Over the Hills
01,The Old Black Rum
01,Demasduit Dream
01,Mari-Mac
01,I'm a Rover
010000,Cock the Hammer
010000,Cypress Hill
010000,(Rock) Superstar
010000,So What'cha Want
010001,Insane in the Brain
010001,Insane In The Brain
010010,Paul Revere
010010,Beastie Boys
010010,Intergalactic
010010,Shake Your Rump
010011,Pass the Mic
010011,Time to Get Ill
010011,All Lifestyles
01002,Root Down EP
01002,Awesome; I Fuckin' Shot That!
01002,Root Down
01002,Hello Brooklyn
01002,Sure Shot
01010,Do You Wanna Touch Me? (Oh Yeah!)
01010,Do You Wanna Touch Me
0101000,Stewie Kills Lois and Lois Kills Stewie
0101000,Brian Griffin
0101000,Cool Whip
0101001,Hungry Bitches
0101001,Wheat Thins
0101001,Stewie Griffin
010101,Syrup of ipecac
010101,Family Guy
010101,Chris Griffin
010101,Minnie the Moocher
010101,Meet the Quagmires
010101,Little Red Riding Hood
010101,Saving Private Brian
010101,The Joe Show
010102,McStroke
010102,Lois Griffin
010102,Peter Griffin
0101030,Quagmire's Dad
0101030,Glenn Quagmire
0101030,Meg Griffin
0101031,Voice Actor
0101031,Seth MacFarlane
0101031,Pennies from Heaven
010104,"Cleveland Brown, Jr."
010104,The Cleveland Show
01011,Everyday People
01011,Joan Jett
01011,I Hate Myself For Loving You
010110,Dazed and Confused
010110,"Alright, Alright, Alright"
010110,Matthew McConaughey
010111,Strictly Come Dancing - Season 7
010111,Quickstep
010111,Craig Kelly
010111,Strictly Come Dancing
0101120,Our Girl
0101120,Graham Norton
0101120,BBC One
0101121,Eddie Redmayne
0101121,The Graham Norton Show
01012,Joan Jett and the Blackhearts
01012,Any Weather (Blackhearts)
01012,I Love Rock 'n' Roll
010120,Richard Dawkins
010120,Peter Boghossian
010121,Astrophysics
010121,Swift Gamma-Ray Burst Mission
010122,Neil deGrasse Tyson
010122,The Nightly Show with Larry Wilmore
0101300,Freak Like Me
0101300,I Want You (She's So Heavy)
0101300,Mz. Hyde
