topic,group,author_id
Amir K,0000,1
Hugh Laurie,0000,1
The Basketball Jones,0000,2
"Why I Hate Religion, But Love Jesus",0000,6
Kevin Garnett,0000,1
Financial independence,0000,1
Webcam,0000,2
Osteopathic medicine in the United States,0000,1
Detroit Pistons,0000,1
Registered nurse,0000,1
Doctor of Medicine,0000,1
House - Season 1,0000,1
Self-deception,0000,1
Mr. Chu,0000,1
Clinton Romesha,0000,4
Dell Curry,0000,1
Lea Salonga,0000,1
First Love,0000,1
Zach LaVine,0000,2
Kawhi Leonard,0000,1
Pre-health sciences,0000,1
Parachute landing fall,0000,1
The Forum,0000,1
Bourrée in E minor,0000,1
Emmanuel Mudiay,0000,1
Emotional eating,0000,1
童話,0000,1
Binge eating,0000,2
In open court,0000,2
Kristaps Porzingis,0000,1
Postbaccalaureate program,0000,1
Unholy Confessions,0000,2
Mike Budenholzer,0000,1
Aftershock Festival,0000,1
Nick Young,0000,1
Persimmon Diet,0000,1
Jimmy Ouyang,0000,1
T. J. McConnell,0000,1
Cheryl Strayed,0000,1
Jill Stevens,0000,1
Jeff Struecker,0000,4
Oprah: Where Are They Now?,0000,2
Pompeii,0000,4
Chad Smith,0000,1
I Write Sins Not Tragedies,0000,4
Mr. Chu (On Stage),0000,1
Nurse anesthetist,0000,1
Anthony Davis,0000,2
An Epic of Time Wasted,0000,1
Kari Jobe,0000,3
Charlie McDonnell,0000,1
Pronunciation,0000,4
No Roads Left,0000,1
USMLE Step 1,0000,1
Charlotte Bobcats,0000,1
Margaret Cho,0000,1
Ahmad Rashād,0000,1
Roy Hibbert,0000,1
Glomerulonephritis,0000,1
A Whole New World,0000,1
Super Soul Sunday,0000,1
United States Medical Licensing Examination,0000,1
Rapzilla,0000,1
Jesse Spencer,0000,1
A Pink,0000,1
Becky Hammon,0000,1
Licensed practical nurse,0000,2
Tony Rock,0000,1
Neurosurgery,0000,1
Bugs Bunny: Lost in Time,0000,1
Wes Moore,0000,1
Jarrett Jack,0000,1
Oprah's Lifeclass,0000,1
Dream Theater,0000,2
Greg Fitzsimmons,0000,1
David Blatt,0000,1
USMLE Step 3,0000,1
Brad Kane,0000,1
USMLE Step 2 Clinical Knowledge,0000,1
Michael Wong,0000,1
Kolese Gonzaga,0000,1
The Lazy Song,0000,5
From the Inside Out,0000,1
Brooklyn Nets,0000,2
Catholic Answers,0000,1
Ben Simmons,0000,1
Wild: From Lost to Found on the Pacific Crest Trail,0000,1
Fix You,0000,1
Drumoff,0000,3
Charisma,0000,1
Bizzle,0000,1
Psychopharmacology,0000,1
Kendrick Perkins,0000,1
Pre-medical,0000,2
Charlotte Hornets,0000,1
Brooks Wackerman,0000,2
Guitar Center,0000,3
Physician,0000,3
Ranger Creed,0000,8
Hikaru Utada,0000,1
Canon EF 50mm lens,0001,1
Veneer,0001,1
Journal,0001,1
Holiday,0001,1
Walt Disney College Program,0001,1
Small business,0001,1
Social work,0001,1
Beautiful Soul,0001,2
Disney College Program,0001,1
Da Baddest,0001,1
Stuck Like Glue,0001,1
International Phonetic Alphabet,0001,1
Budget,0001,1
Photographer,0001,2
Jesse McCartney,0001,3
CTE World,0001,1
She Will Be Loved,0001,1
Journaling file system,0001,1
NATO phonetic alphabet,0001,1
Giveaway of the Day,0001,1
Sugarland,0001,1
Beautiful Son,0001,2
Mark Mattson,0001,1
Promotional merchandise,0001,1
Ferris State University,0001,1
Roberto Soldado,001,1
