,count,topic
0,7163,US Marines
1,5559,Recruit training
2,5489,Military
3,5246,United States Navy SEALs
4,5219,United States Navy
5,5020,United States Air Force
6,4622,Donald Trump
7,4363,United States Marine Corps Recruit Training
8,4291,Drill instructor
9,4105,Stolen Valor Act of 2013
10,3935,Army
11,3933,United States Army
12,3928,United States Marine Corps Force Reconnaissance
13,3829,Soldier
14,3744,Special Forces
15,3650,United States Armed Forces
16,3551,Trailer
17,3452,Special forces
18,3341,Marine Corps Recruit Depot Parris Island
19,3294,Military cadence
20,3267,United States Marine Corps School of Infantry
21,3267,Don Shipley
22,3180,United States Marine Corps Forces Special Operations Command
23,3166,Video blog
24,2948,United States Air Force Basic Military Training
25,2843,Physical exercise
26,2841,Bodybuilding
27,2830,Medal of Honor
28,2777,Firearm
29,2632,Grand Theft Auto
30,2631,United States Army Rangers
31,2611,Shooting
32,2590,Marines
33,2558,Grand Theft Auto V
34,2555,Practical joke
35,2520,Veteran
36,2513,Barack Obama
37,2507,Helicopter
38,2497,Sniper
39,2493,United States Army Basic Training
40,2492,Star Wars
41,2489,United States Navy SEAL selection and training
42,2446,Marine Corps Recruit Depot San Diego
43,2435,Hillary Rodham Clinton
44,2413,Lockheed Martin F-35 Lightning II
45,2394,United States Coast Guard
46,2391,United States Military Entrance Processing Command
47,2298,Islamic State of Iraq and the Levant
48,2275,United States Marine Corps Physical Fitness Test
49,2265,Delayed Entry Program
50,2242,Unmanned aerial vehicle
51,2231,Lyrics
52,2169,Tank
53,2163,Aircraft carrier
54,2158,National Guard of the United States
55,2136,Paratrooper
56,2136,"Meal, Ready-to-Eat"
57,2120,Pokémon
58,2094,Mortar
59,2088,Bell Boeing V-22 Osprey
60,2062,Marcus Luttrell
61,2060,5th Marine Regiment
62,2047,Police officer
63,2047,United States Marine Corps Scout Sniper
64,2045,Tattoo
65,2045,Call of Duty
66,2041,"""The President's Own"" United States Marine Band"
67,2039,Armed Services Vocational Aptitude Battery
68,2014,Dog
69,1987,Officer Candidates School
70,1978,Car
71,1976,Air force
72,1975,Saturday Night Live
73,1971,2nd Reconnaissance Battalion
74,1966,"Recruit Training Command, Great Lakes, Illinois"
75,1954,Motivation
76,1945,The Young Turks
77,1914,Infantry
78,1914,Gun
79,1908,United States presidential inauguration
80,1900,.50 BMG
81,1898,Assault rifle
82,1886,Special Purpose Marine Air-Ground Task Force for Crisis Response
83,1881,Weapon
84,1860,United States Air Force Academy
85,1857,War
86,1856,Airborne forces
87,1853,Reconnaissance
88,1851,Humvee
89,1850,M16 rifle
90,1849,World War II
91,1846,Star Wars Episode VII
92,1822,M1 Abrams
93,1817,Drake
94,1815,Machine gun
95,1807,United States Marine Corps Warfighting Laboratory
96,1805,Documentary film
97,1798,President of the United States
98,1783,Pull-up
99,1763,Republic of Korea Marine Corps
100,1759,"Marine Barracks, Washington, D.C."
101,1747,Family Guy
102,1738,Marine Corps Base Camp Pendleton
103,1705,Fighter aircraft
